"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,1.12,1.0,,+-0.02,+-0.01,+-0.05%,
298.15,2.63,0.9783,,+-0.02,+-0.01,+-0.05%,
298.15,4.18,0.9338,,+-0.02,+-0.01,+-0.05%,
298.15,5.36,0.8715,,+-0.02,+-0.01,+-0.05%,
298.15,5.96,0.8068,,+-0.02,+-0.01,+-0.05%,
298.15,6.31,0.7407,,+-0.02,+-0.01,+-0.05%,
298.15,6.57,0.6543,,+-0.02,+-0.01,+-0.05%,
298.15,6.66,0.6019,,+-0.02,+-0.01,+-0.05%,
298.15,6.85,0.4168,,+-0.02,+-0.01,+-0.05%,
298.15,6.9,0.3476,,+-0.02,+-0.01,+-0.05%,
298.15,6.93,0.2856,,+-0.02,+-0.01,+-0.05%,
298.15,6.95,0.2469,,+-0.02,+-0.01,+-0.05%,
298.15,6.93,0.2009,,+-0.02,+-0.01,+-0.05%,
298.15,6.95,0.1205,,+-0.02,+-0.01,+-0.05%,
298.15,6.94,0.1169,,+-0.02,+-0.01,+-0.05%,
298.15,6.93,0.0964,,+-0.02,+-0.01,+-0.05%,
298.15,6.93,0.0862,,+-0.02,+-0.01,+-0.05%,
298.15,6.96,0.0834,,+-0.02,+-0.01,+-0.05%,
298.15,6.85,0.0348,,+-0.02,+-0.01,+-0.05%,
298.15,6.84,0.0255,,+-0.02,+-0.01,+-0.05%,
298.15,6.66,0.0,,+-0.02,+-0.01,+-0.05%,
