"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
120.0,760,0.021,0.058,,+-0.2,,
115.8,760,0.084,0.202,,+-0.2,,
112.0,760,0.145,0.329,,+-0.2,,
108.3,760,0.206,0.435,,+-0.2,,
105.1,760,0.262,0.527,,+-0.2,,
101.9,760,0.324,0.602,,+-0.2,,
99.1,760,0.379,0.665,,+-0.2,,
96.3,760,0.438,0.726,,+-0.2,,
94.2,760,0.482,0.763,,+-0.2,,
93.6,760,0.497,0.774,,+-0.2,,
91.3,760,0.552,0.812,,+-0.2,,
88.6,760,0.619,0.855,,+-0.2,,
86.3,760,0.685,0.889,,+-0.2,,
84.1,760,0.75,0.917,,+-0.2,,
82.1,760,0.811,0.942,,+-0.2,,
80.4,760,0.87,0.962,,+-0.2,,
78.7,760,0.928,0.98,,+-0.2,,
77.3,760,0.98,0.995,,+-0.2,,
