"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
348.14,372.68,0.058,0.183,,,,
348.14,393.26,0.084,0.245,,,,
348.14,426.37,0.132,0.333,,,,
348.14,451.79,0.168,0.393,,,,
348.14,482.33,0.227,0.46,,,,
348.14,521.63,0.311,0.537,,,,
348.14,554.2,0.399,0.604,,,,
348.14,581.2,0.483,0.658,,,,
348.14,599.83,0.562,0.7,,,,
348.14,613.38,0.631,0.735,,,,
348.14,623.62,0.689,0.768,,,,
348.14,631.84,0.746,0.801,,,,
348.14,636.53,0.786,0.824,,,,
348.14,639.92,0.824,0.849,,,,
348.14,643.16,0.882,0.888,,,,
348.14,642.38,0.927,0.924,,,,
348.14,640.0,0.967,0.963,,,,
