"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
355.35,127.99,0.0291,0.1034,,+-0.02,,
352.0,127.99,0.078,0.2485,,+-0.02,,
350.55,127.99,0.1078,0.3095,,+-0.02,,
348.9,127.99,0.1368,0.3652,,+-0.02,,
347.55,127.99,0.1693,0.4191,,+-0.02,,
346.35,127.99,0.2017,0.4601,,+-0.02,,
345.2,127.99,0.2371,0.4989,,+-0.02,,
344.25,127.99,0.2717,0.5321,,+-0.02,,
343.45,127.99,0.2965,0.5559,,+-0.02,,
342.43,127.99,0.3438,0.5902,,+-0.02,,
342.07,127.99,0.3631,0.6041,,+-0.02,,
341.37,127.99,0.4026,0.626,,+-0.02,,
340.83,127.99,0.4339,0.6448,,+-0.02,,
340.4,127.99,0.4635,0.6608,,+-0.02,,
339.95,127.99,0.4942,0.6782,,+-0.02,,
339.53,127.99,0.5247,0.6937,,+-0.02,,
339.17,127.99,0.5591,0.7109,,+-0.02,,
338.83,127.99,0.5907,0.7269,,+-0.02,,
338.48,127.99,0.6246,0.7443,,+-0.02,,
338.19,127.99,0.6561,0.76,,+-0.02,,
337.9,127.99,0.6918,0.7785,,+-0.02,,
337.64,127.99,0.7265,0.7969,,+-0.02,,
337.39,127.99,0.7604,0.8157,,+-0.02,,
337.16,127.99,0.7974,0.8373,,+-0.02,,
336.98,127.99,0.834,0.861,,+-0.02,,
336.86,127.99,0.8638,0.8812,,+-0.02,,
336.77,127.99,0.8878,0.8989,,+-0.02,,
336.72,127.99,0.9098,0.9164,,+-0.02,,
336.7,127.99,0.9293,0.9326,,+-0.02,,
336.69,127.99,0.948,0.949,,+-0.02,,
336.68,127.99,0.9655,0.9655,,+-0.02,,
336.71,127.99,0.984,0.9835,,+-0.02,,
