"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
45,115.27,0.0,0.0,,,,
45,123.08,0.005,0.067,,,,
45,129.1,0.01,0.114,,,,
45,137.2,0.02,0.171,,,,
45,143.96,0.04,0.216,,,,
45,151.38,0.1,0.266,,,,
45,155.57,0.2,0.305,,,,
45,156.26,0.3,0.32,,,,
45,156.02,0.4,0.338,,,,
45,154.92,0.5,0.353,,,,
45,152.73,0.6,0.37,,,,
45,148.7,0.7,0.393,,,,
45,139.85,0.8,0.436,,,,
45,131.89,0.85,0.475,,,,
45,119.78,0.9,0.54,,,,
45,113.14,0.92,0.58,,,,
45,105.13,0.94,0.633,,,,
45,95.55,0.96,0.708,,,,
45,84.03,0.98,0.819,,,,
45,77.38,0.99,0.897,,,,
45,70.06,1.0,1.0,,,,
