"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
98.18,756.33,0.0031,0.071,+-0.02,+-0.05,,
96.47,756.73,0.0068,0.131,+-0.02,+-0.05,,
93.91,756.73,0.013,0.215,+-0.02,+-0.05,,
91.92,756.73,0.0218,0.288,+-0.02,+-0.05,,
88.57,756.07,0.072,0.375,+-0.02,+-0.05,,
88.04,755.86,0.139,0.393,+-0.02,+-0.05,,
87.72,757.97,0.275,0.407,+-0.02,+-0.05,,
87.62,757.97,0.327,0.415,+-0.02,+-0.05,,
87.54,757.97,0.38,0.424,+-0.02,+-0.05,,
87.53,758.08,0.396,0.421,+-0.02,+-0.05,,
87.62,758.08,0.515,0.456,+-0.02,+-0.05,,
88.97,758.08,0.721,0.561,+-0.02,+-0.05,,
89.4,756.33,0.766,0.596,+-0.02,+-0.05,,
91.69,759.13,0.867,0.71,+-0.02,+-0.05,,
93.07,759.13,0.913,0.785,+-0.02,+-0.05,,
94.87,759.13,0.955,0.878,+-0.02,+-0.05,,
