"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
344.3,1606,0.685,,,,0.003,
344.3,1694,0.711,,,,0.003,
344.3,1787,0.738,,,,0.003,
344.3,1902,0.769,,,,0.003,
344.3,2025,0.797,,,,0.003,
344.3,2025,0.797,,,,0.003,
344.3,2111,0.819,,,,0.003,
344.3,2153,0.827,,,,0.003,
344.3,2194,0.839,,,,0.003,
344.3,2256,0.857,,,,0.003,
344.3,2276,0.862,,,,0.003,
344.3,2309,0.87,,,,0.003,
344.3,2325,0.877,,,,0.003,
344.3,2341,0.885,,,,0.003,
344.3,2353,0.887,,,,0.003,
344.3,2363,0.893,,,,0.003,
344.3,2364,0.895,,,,0.003,
344.3,2372,0.899,,,,0.003,
