"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
171.2,760,0.956,0.932,+-0.1,,1.0%,1.0%
167.8,760,0.808,0.743,+-0.1,,1.0%,1.0%
166.2,760,0.695,0.642,+-0.1,,1.0%,1.0%
165.3,760,0.521,0.513,+-0.1,,1.0%,1.0%
165.5,760,0.485,0.492,+-0.1,,1.0%,1.0%
167.0,760,0.223,0.279,+-0.1,,1.0%,1.0%
168.1,760,0.151,0.208,+-0.1,,1.0%,1.0%
172.0,760,0.04,0.0864,+-0.1,,1.0%,1.0%
