"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323.15,1.149,0.0,0.0,0.002,+-0.003,+-0.002,+-0.002
323.15,1.108,0.133,0.12,0.002,+-0.003,+-0.002,+-0.002
323.15,1.098,0.231,0.227,0.002,+-0.003,+-0.002,+-0.002
323.15,1.098,0.271,0.273,0.002,+-0.003,+-0.002,+-0.002
323.15,1.102,0.314,0.326,0.002,+-0.003,+-0.002,+-0.002
323.15,1.112,0.36,0.387,0.002,+-0.003,+-0.002,+-0.002
323.15,1.139,0.427,0.474,0.002,+-0.003,+-0.002,+-0.002
323.15,1.173,0.482,0.55,0.002,+-0.003,+-0.002,+-0.002
323.15,1.224,0.547,0.632,0.002,+-0.003,+-0.002,+-0.002
323.15,1.323,0.636,0.74,0.002,+-0.003,+-0.002,+-0.002
323.15,1.501,0.757,0.856,0.002,+-0.003,+-0.002,+-0.002
323.15,1.752,0.895,0.951,0.002,+-0.003,+-0.002,+-0.002
323.15,1.947,1.0,1.0,0.002,+-0.003,+-0.002,+-0.002
