"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
157.4,26.7,0.0,,+-0.1,+-0.13,,
157.0,26.7,0.0465,,+-0.1,+-0.13,,
156.6,26.7,0.0924,,+-0.1,+-0.13,,
155.6,26.7,0.1559,,+-0.1,+-0.13,,
155.3,26.7,0.2061,,+-0.1,+-0.13,,
154.9,26.7,0.2414,,+-0.1,+-0.13,,
154.4,26.7,0.2812,,+-0.1,+-0.13,,
153.5,26.7,0.3439,,+-0.1,+-0.13,,
153.0,26.7,0.3815,,+-0.1,+-0.13,,
152.5,26.7,0.4392,,+-0.1,+-0.13,,
151.4,26.7,0.5302,,+-0.1,+-0.13,,
150.9,26.7,0.5624,,+-0.1,+-0.13,,
150.7,26.7,0.6057,,+-0.1,+-0.13,,
149.5,26.7,0.7078,,+-0.1,+-0.13,,
148.6,26.7,0.7915,,+-0.1,+-0.13,,
148.3,26.7,0.8258,,+-0.1,+-0.13,,
147.7,26.7,0.8746,,+-0.1,+-0.13,,
147.2,26.7,0.9227,,+-0.1,+-0.13,,
146.8,26.7,0.9662,,+-0.1,+-0.13,,
146.8,26.7,1.0,,+-0.1,+-0.13,,
