"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
174.0,760,0.924,0.966,+-0.1,,+-0.003,+-0.003
177.4,760,0.825,0.912,+-0.1,,+-0.003,+-0.003
185.8,760,0.57,0.743,+-0.1,,+-0.003,+-0.003
179.7,760,0.753,0.87,+-0.1,,+-0.003,+-0.003
177.7,760,0.817,0.9,+-0.1,,+-0.003,+-0.003
190.2,760,0.442,0.636,+-0.1,,+-0.003,+-0.003
195.2,760,0.321,0.505,+-0.1,,+-0.003,+-0.003
207.5,760,0.0552,0.126,+-0.1,,+-0.003,+-0.003
