"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323.24,0.394,0.2436,,0.02,0.01,,
333.24,0.504,0.2436,,0.02,0.01,,
343.2,0.634,0.2436,,0.02,0.01,,
345.63,0.669,0.2436,,0.02,0.01,,
353.24,0.787,0.2436,,0.02,0.01,,
363.26,0.964,0.2436,,0.02,0.01,,
373.25,1.168,0.2436,,0.02,0.01,,
383.22,1.402,0.2436,,0.02,0.01,,
393.21,1.665,0.2436,,0.02,0.01,,
403.29,1.966,0.2436,,0.02,0.01,,
413.29,2.304,0.2436,,0.02,0.01,,
423.26,2.684,0.2436,,0.02,0.01,,
433.25,3.112,0.2436,,0.02,0.01,,
443.25,3.59,0.2436,,0.02,0.01,,
453.25,4.123,0.2436,,0.02,0.01,,
463.23,4.711,0.2436,,0.02,0.01,,
473.22,5.34,0.2436,,0.02,0.01,,
478.25,5.647,0.2436,,0.02,0.01,,
482.18,5.805,0.2436,,0.02,0.01,,
482.79,5.82,0.2436,,0.02,0.01,,
