"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
34.5,30.04,0.0,0.0,+-0.05,+-0.01,,
32.1,30.04,0.015,0.113,+-0.05,+-0.01,,
29.2,30.04,0.04,0.22,+-0.05,+-0.01,,
26.9,30.04,0.068,0.285,+-0.05,+-0.01,,
25.8,30.04,0.132,0.339,+-0.05,+-0.01,,
25.3,30.04,0.193,0.365,+-0.05,+-0.01,,
25.2,30.04,0.36,0.383,+-0.05,+-0.01,,
25.2,30.04,0.519,0.377,+-0.05,+-0.01,,
26.6,30.04,0.819,0.456,+-0.05,+-0.01,,
27.55,30.04,0.857,0.474,+-0.05,+-0.01,,
29.0,30.04,0.892,0.527,+-0.05,+-0.01,,
30.95,30.04,0.92,0.578,+-0.05,+-0.01,,
32.5,30.04,0.939,0.625,+-0.05,+-0.01,,
34.1,30.04,0.951,0.676,+-0.05,+-0.01,,
35.45,30.04,0.961,0.717,+-0.05,+-0.01,,
38.8,30.04,0.983,0.835,+-0.05,+-0.01,,
42.95,30.04,1.0,1.0,+-0.05,+-0.01,,
