"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
351.07,101.32,0.0108,0.0185,+-0.02,,,
351.0,101.32,0.0422,0.0505,+-0.02,,,
350.97,101.32,0.0643,0.067,+-0.02,,,
351.0,101.32,0.0975,0.0945,+-0.02,,,
351.05,101.32,0.132,0.1171,+-0.02,,,
351.09,101.32,0.1895,0.1312,+-0.02,,,
351.14,101.32,0.2044,0.1455,+-0.02,,,
351.45,101.32,0.2749,0.1725,+-0.02,,,
351.57,101.32,0.2984,0.1821,+-0.02,,,
352.3,101.32,0.3957,0.2235,+-0.02,,,
352.69,101.32,0.4343,0.2396,+-0.02,,,
353.53,101.32,0.506,0.2686,+-0.02,,,
353.87,101.32,0.5228,0.2795,+-0.02,,,
354.27,101.32,0.5435,0.2931,+-0.02,,,
354.85,101.32,0.5845,0.3097,+-0.02,,,
355.52,101.32,0.6141,0.3292,+-0.02,,,
356.24,101.32,0.6267,0.3379,+-0.02,,,
356.6,101.32,0.6437,0.3483,+-0.02,,,
357.45,101.32,0.6903,0.3698,+-0.02,,,
358.55,101.32,0.7189,0.3953,+-0.02,,,
361.01,101.32,0.7893,0.4538,+-0.02,,,
362.27,101.32,0.8091,0.4829,+-0.02,,,
364.07,101.32,0.8462,0.5286,+-0.02,,,
365.1,101.32,0.8603,0.5555,+-0.02,,,
367.82,101.32,0.8935,0.6275,+-0.02,,,
369.93,101.32,0.9114,0.6733,+-0.02,,,
371.25,101.32,0.9232,0.7071,+-0.02,,,
372.57,101.32,0.9322,0.7458,+-0.02,,,
375.67,101.32,0.9655,0.8498,+-0.02,,,
377.47,101.32,0.9764,0.9111,+-0.02,,,
