"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
54.5,30.86,0.025,0.777,+- 0.05,+- 0.05,,
54.5,41.98,0.036,0.828,+- 0.05,+- 0.05,,
54.5,55.12,0.047,0.863,+- 0.05,+- 0.05,,
54.5,67.79,0.063,0.879,+- 0.05,+- 0.05,,
54.5,82.66,0.074,0.896,+- 0.05,+- 0.05,,
54.5,91.27,0.086,0.903,+- 0.05,+- 0.05,,
54.5,102.95,0.094,0.91,+- 0.05,+- 0.05,,
54.5,115.88,0.11,0.916,+- 0.05,+- 0.05,,
54.5,128.61,0.123,0.922,+- 0.05,+- 0.05,,
54.5,136.23,0.128,0.924,+- 0.05,+- 0.05,,
54.5,136.4,0.129,0.925,+- 0.05,+- 0.05,,
54.5,155.71,0.147,0.93,+- 0.05,+- 0.05,,
54.5,166.27,0.16,0.932,+- 0.05,+- 0.05,,
