"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
30.0,4.02,0.0,0.0,,,,
30.0,4.06,0.0325,0.0389,,,,
30.0,4.08,0.0631,0.0753,,,,
30.0,4.11,0.1124,0.1246,,,,
30.0,4.12,0.148,0.1595,,,,
30.0,4.13,0.1922,0.2002,,,,
30.0,4.13,0.2349,0.2353,,,,
30.0,4.12,0.2679,0.2613,,,,
30.0,4.1,0.3259,0.3057,,,,
30.0,4.03,0.4503,0.3958,,,,
30.0,3.93,0.5489,0.4698,,,,
30.0,3.85,0.6122,0.5183,,,,
30.0,3.63,0.7444,0.6293,,,,
30.0,3.49,0.8048,0.6969,,,,
30.0,3.27,0.8893,0.7991,,,,
30.0,3.21,0.9047,0.8268,,,,
30.0,3.06,0.9494,0.894,,,,
30.0,2.93,0.979,0.9567,,,,
30.0,2.85,1.0,1.0,,,,
