"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
361.7,4.055,0.955,0.983,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.903,0.917,0.975,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.894,0.915,0.972,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.599,0.851,0.967,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.589,0.848,0.966,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.451,0.82,0.966,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,3.138,0.707,0.958,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,2.973,0.681,0.957,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,2.905,0.644,0.952,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,2.45,0.511,0.946,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,2.116,0.407,0.932,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,1.935,0.365,0.927,+-0.05,+-0.5%,+-0.005,+-0.005
361.7,1.569,0.271,0.917,+-0.05,+-0.5%,+-0.005,+-0.005
