"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
65,2.418,0.1503,0.9955,+-0.1,+-0.25%,,
65,4.058,0.2571,,+-0.1,+-0.25%,,
65,4.126,0.2769,0.9961,+-0.1,+-0.25%,,
65,5.658,0.3499,0.9961,+-0.1,+-0.25%,,
65,6.067,0.4005,,+-0.1,+-0.25%,,
65,6.094,0.4024,,+-0.1,+-0.25%,,
65,7.033,0.4687,,+-0.1,+-0.25%,,
65,7.274,0.492,,+-0.1,+-0.25%,,
65,7.323,0.5033,0.9954,+-0.1,+-0.25%,,
65,8.246,0.5527,,+-0.1,+-0.25%,,
65,8.453,0.5867,0.9933,+-0.1,+-0.25%,,
65,9.329,0.639,,+-0.1,+-0.25%,,
65,9.387,0.664,0.9925,+-0.1,+-0.25%,,
65,10.796,0.7923,,+-0.1,+-0.25%,,
65,10.804,0.7949,,+-0.1,+-0.25%,,
65,10.693,0.7967,0.9874,+-0.1,+-0.25%,,
65,10.903,0.8028,,+-0.1,+-0.25%,,
