"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
120,96.7,0.0,0.0,,,,
120,155.78,0.0471,0.3753,,,,
120,172.65,0.0802,0.4453,,,,
120,190.88,0.1457,0.5247,,,,
120,198.82,0.2383,0.5595,,,,
120,202.95,0.3421,0.5791,,,,
120,204.38,0.467,0.5805,,,,
120,204.83,0.6123,0.6054,,,,
120,203.44,0.6931,0.6243,,,,
120,201.79,0.752,0.6423,,,,
120,200.25,0.7915,0.6602,,,,
120,195.26,0.8561,0.697,,,,
120,189.2,0.9042,0.7425,,,,
120,181.25,0.9415,0.805,,,,
120,170.45,0.9665,0.8723,,,,
120,159.0,0.9884,0.9452,,,,
120,150.6,1.0,1.0,,,,
