"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
50.0,1.35,0.0958,0.9202,+-0.05,0.01,+-1.5%,+-1.5%
50.0,1.53,0.1127,0.9257,+-0.05,0.01,+-1.5%,+-1.5%
50.0,2.37,0.1904,0.9456,+-0.05,0.01,+-1.5%,+-1.5%
50.0,2.83,0.2255,0.9487,+-0.05,0.01,+-1.5%,+-1.5%
50.0,3.35,0.2715,0.9529,+-0.05,0.01,+-1.5%,+-1.5%
50.0,4.45,0.367,0.9553,+-0.05,0.01,+-1.5%,+-1.5%
50.0,5.3,0.4863,0.9584,+-0.05,0.01,+-1.5%,+-1.5%
50.0,6.73,0.6489,0.9559,+-0.05,0.01,+-1.5%,+-1.5%
50.0,7.26,0.744,0.936,+-0.05,0.01,+-1.5%,+-1.5%
50.0,7.59,0.8132,0.9182,+-0.05,0.01,+-1.5%,+-1.5%
