"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.52,230488,0.0836,,+-.003,+-120,+-0.001,
322.89,460283,0.0836,,+-.003,+-120,+-0.001,
298.44,204081,0.2124,,+-.003,+-120,+-0.001,
322.88,408517,0.2124,,+-.003,+-120,+-0.001,
298.46,186942,0.2992,,+-.003,+-120,+-0.001,
322.89,374760,0.2992,,+-.003,+-120,+-0.001,
298.48,164317,0.4149,,+-.003,+-120,+-0.001,
322.9,330113,0.4149,,+-.003,+-120,+-0.001,
298.42,147528,0.4978,,+-.003,+-120,+-0.001,
322.89,298045,0.4978,,+-.003,+-120,+-0.001,
