"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
128.65,735,0.08,0.168,+-0.1,+-2,+-0.0002,+-0.0002
124.35,735,0.12,0.261,+-0.1,+-2,+-0.0002,+-0.0002
121.35,735,0.149,0.334,+-0.1,+-2,+-0.0002,+-0.0002
119.85,735,0.16,0.405,+-0.1,+-2,+-0.0002,+-0.0002
114.85,735,0.21,0.505,+-0.1,+-2,+-0.0002,+-0.0002
107.75,735,0.325,0.66,+-0.1,+-2,+-0.0002,+-0.0002
107.0,735,0.336,0.67,+-0.1,+-2,+-0.0002,+-0.0002
99.65,735,0.483,0.81,+-0.1,+-2,+-0.0002,+-0.0002
97.0,735,0.548,0.844,+-0.1,+-2,+-0.0002,+-0.0002
95.0,735,0.605,0.879,+-0.1,+-2,+-0.0002,+-0.0002
92.8,735,0.654,0.916,+-0.1,+-2,+-0.0002,+-0.0002
90.5,735,0.733,0.924,+-0.1,+-2,+-0.0002,+-0.0002
89.3,735,0.768,0.944,+-0.1,+-2,+-0.0002,+-0.0002
88.05,735,0.803,0.953,+-0.1,+-2,+-0.0002,+-0.0002
86.6,735,0.878,0.971,+-0.1,+-2,+-0.0002,+-0.0002
84.45,735,0.946,0.988,+-0.1,+-2,+-0.0002,+-0.0002
83.4,735,0.98,0.997,+-0.1,+-2,+-0.0002,+-0.0002
