"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
30,60.1,0.005,0.039,,+-0.05,+-0.001,+-0.001
30,61.2,0.01,0.058,,+-0.05,+-0.001,+-0.001
30,62.5,0.02,0.081,,+-0.05,+-0.001,+-0.001
30,63.5,0.04,0.097,,+-0.05,+-0.001,+-0.001
30,63.7,0.08,0.104,,+-0.05,+-0.001,+-0.001
30,63.7,0.12,0.113,,+-0.05,+-0.001,+-0.001
30,63.5,0.18,0.117,,+-0.05,+-0.001,+-0.001
30,63.0,0.3,0.12,,+-0.05,+-0.001,+-0.001
30,61.5,0.4,0.126,,+-0.05,+-0.001,+-0.001
30,61.2,0.5,0.132,,+-0.05,+-0.001,+-0.001
30,56.2,0.7,0.154,,+-0.05,+-0.001,+-0.001
30,44.0,0.85,0.218,,+-0.05,+-0.001,+-0.001
30,36.7,0.9,0.272,,+-0.05,+-0.001,+-0.001
30,25.8,0.95,0.377,,+-0.05,+-0.001,+-0.001
30,17.4,0.98,0.598,,+-0.05,+-0.001,+-0.001
30,14.1,0.99,0.735,,+-0.05,+-0.001,+-0.001
