"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
48.9,40,1.0,1.0,0.1,0.067,,
54.9,40,0.783,0.971,0.1,0.067,,
58.1,40,0.67,0.952,0.1,0.067,,
62.0,40,0.557,0.924,0.1,0.067,,
66.8,40,0.435,0.89,0.1,0.067,,
71.5,40,0.33,0.822,0.1,0.067,,
76.3,40,0.254,0.763,0.1,0.067,,
81.1,40,0.193,0.697,0.1,0.067,,
84.1,40,0.16,0.656,0.1,0.067,,
87.4,40,0.125,0.575,0.1,0.067,,
90.9,40,0.098,0.486,0.1,0.067,,
94.9,40,0.064,0.394,0.1,0.067,,
99.7,40,0.038,0.26,0.1,0.067,,
102.2,40,0.02,0.18,0.1,0.067,,
103.3,40,0.015,0.15,0.1,0.067,,
103.8,40,0.014,0.13,0.1,0.067,,
107.3,40,0.0,0.0,0.1,0.067,,
