"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
310.93,5.47,0.0096,0.0791,+-0.025,+-0.03,,
310.93,6.04,0.022,0.1633,+-0.025,+-0.03,,
310.93,6.61,0.0347,0.2256,+-0.025,+-0.03,,
310.93,7.99,0.0648,0.3616,+-0.025,+-0.03,,
310.93,9.03,0.0882,0.4283,+-0.025,+-0.03,,
310.93,10.63,0.1262,0.5139,+-0.025,+-0.03,,
310.93,12.44,0.1704,0.5829,+-0.025,+-0.03,,
310.93,15.13,0.2396,0.6573,+-0.025,+-0.03,,
310.93,18.03,0.3159,0.7139,+-0.025,+-0.03,,
310.93,22.14,0.4324,0.771,+-0.025,+-0.03,,
310.93,25.28,0.5224,0.8051,+-0.025,+-0.03,,
310.93,29.15,0.633,0.8398,+-0.025,+-0.03,,
310.93,32.38,0.7198,0.8655,+-0.025,+-0.03,,
310.93,34.47,0.7747,0.8824,+-0.025,+-0.03,,
310.93,36.08,0.8124,0.8945,+-0.025,+-0.03,,
310.93,37.73,0.8501,0.9099,+-0.025,+-0.03,,
310.93,39.03,0.8781,0.9163,+-0.025,+-0.03,,
310.93,39.76,0.8936,0.9189,+-0.025,+-0.03,,
