"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-60.0,100.0,0.9524,0.00021,,,,
-60.0,200.0,0.9082,0.000191,,,,
-60.0,400.0,0.8246,0.000198,,,,
-60.0,600.0,0.7531,0.000226,,,,
-60.0,800.0,0.6923,0.000256,,,,
-60.0,1000.0,0.6377,0.0003,,,,
-60.0,1250.0,0.5727,0.000349,,,,
-60.0,1500.0,0.5146,0.00041,,,,
-60.0,1750.0,0.4615,0.000471,,,,
-60.0,2000.0,0.4118,0.000593,,,,
-60.0,2250.0,0.3731,0.000862,,,,
-60.0,2500.0,0.3478,0.0017,,,,
-60.0,2750.0,0.2951,0.00213,,,,
-60.0,3000.0,0.2568,0.00259,,,,
-60.0,3250.0,0.2172,0.00401,,,,
-60.0,3500.0,0.1624,0.00866,,,,
