"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
337.56,101.3,0.085,0.128,+-0.02,+-0.1,+-0.008,+-0.008
337.02,101.3,0.124,0.177,+-0.02,+-0.1,+-0.008,+-0.008
336.19,101.3,0.172,0.242,+-0.02,+-0.1,+-0.008,+-0.008
335.48,101.3,0.233,0.309,+-0.02,+-0.1,+-0.008,+-0.008
334.78,101.3,0.281,0.36,+-0.02,+-0.1,+-0.008,+-0.008
334.5,101.3,0.305,0.39,+-0.02,+-0.1,+-0.008,+-0.008
334.35,101.3,0.321,0.4,+-0.02,+-0.1,+-0.008,+-0.008
333.7,101.3,0.384,0.46,+-0.02,+-0.1,+-0.008,+-0.008
333.44,101.3,0.413,0.497,+-0.02,+-0.1,+-0.008,+-0.008
332.96,101.3,0.474,0.552,+-0.02,+-0.1,+-0.008,+-0.008
332.43,101.3,0.517,0.591,+-0.02,+-0.1,+-0.008,+-0.008
332.08,101.3,0.581,0.645,+-0.02,+-0.1,+-0.008,+-0.008
331.72,101.3,0.641,0.694,+-0.02,+-0.1,+-0.008,+-0.008
331.53,101.3,0.671,0.723,+-0.02,+-0.1,+-0.008,+-0.008
331.33,101.3,0.737,0.777,+-0.02,+-0.1,+-0.008,+-0.008
331.02,101.3,0.76,0.798,+-0.02,+-0.1,+-0.008,+-0.008
330.8,101.3,0.775,0.812,+-0.02,+-0.1,+-0.008,+-0.008
330.75,101.3,0.802,0.834,+-0.02,+-0.1,+-0.008,+-0.008
330.63,101.3,0.867,0.888,+-0.02,+-0.1,+-0.008,+-0.008
330.37,101.3,0.904,0.918,+-0.02,+-0.1,+-0.008,+-0.008
330.24,101.3,0.932,0.942,+-0.02,+-0.1,+-0.008,+-0.008
330.2,101.3,0.949,0.956,+-0.02,+-0.1,+-0.008,+-0.008
330.17,101.3,0.969,0.973,+-0.02,+-0.1,+-0.008,+-0.008
330.05,101.3,1.0,1.0,+-0.02,+-0.1,+-0.008,+-0.008
