"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
150,251.74,1.0,,+-0.05,+-0.05,,
150,263.26,0.9721,,+-0.05,+-0.05,,
150,277.5,0.9461,,+-0.05,+-0.05,,
150,299.86,0.8966,,+-0.05,+-0.05,,
150,347.98,0.7992,,+-0.05,+-0.05,,
150,389.99,0.7098,,+-0.05,+-0.05,,
150,428.62,0.6272,,+-0.05,+-0.05,,
150,438.11,0.6028,,+-0.05,+-0.05,,
150,468.6,0.529,,+-0.05,+-0.05,,
150,485.55,0.4948,,+-0.05,+-0.05,,
150,514.68,0.4207,,+-0.05,+-0.05,,
150,530.26,0.3931,,+-0.05,+-0.05,,
150,556.67,0.3198,,+-0.05,+-0.05,,
150,607.48,0.2016,,+-0.05,+-0.05,,
150,651.52,0.1032,,+-0.05,+-0.05,,
150,673.88,0.0521,,+-0.05,+-0.05,,
150,680.65,0.0374,,+-0.05,+-0.05,,
150,695.54,0.0,,+-0.05,+-0.05,,
