"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
60.0,0.086,0.0,0.0,,,,
60.0,0.159,0.027,0.456,,,,
60.0,0.165,0.03,0.466,,,,
60.0,0.214,0.05,0.56,,,,
60.0,0.248,0.064,0.635,,,,
60.0,0.29,0.08,0.68,,,,
60.0,0.345,0.105,0.73,,,,
60.0,0.49,0.175,0.816,,,,
60.0,0.552,0.214,0.841,,,,
60.0,0.627,0.262,0.856,,,,
60.0,0.683,0.3,0.875,,,,
60.0,0.779,0.367,0.882,,,,
60.0,0.869,0.44,0.897,,,,
60.0,0.993,0.56,0.918,,,,
60.0,1.069,0.639,0.931,,,,
60.0,1.165,0.732,0.943,,,,
60.0,1.241,0.82,0.96,,,,
60.0,1.282,0.874,0.966,,,,
60.0,1.324,0.91,0.975,,,,
60.0,1.344,0.932,0.981,,,,
60.0,1.461,1.0,1.0,,,,
