"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
62.4,66.67,1.0,1.0,0.1,0.067,,
66.3,66.67,0.85,0.98,0.1,0.067,,
70.3,66.67,0.728,0.961,0.1,0.067,,
72.8,66.67,0.648,0.944,0.1,0.067,,
76.1,66.67,0.566,0.92,0.1,0.067,,
82.0,66.67,0.44,0.87,0.1,0.067,,
86.2,66.67,0.372,0.833,0.1,0.067,,
90.1,66.67,0.301,0.783,0.1,0.067,,
94.2,66.67,0.239,0.725,0.1,0.067,,
98.8,66.67,0.18,0.655,0.1,0.067,,
103.1,66.67,0.14,0.58,0.1,0.067,,
108.0,66.67,0.095,0.48,0.1,0.067,,
110.8,66.67,0.078,0.42,0.1,0.067,,
116.1,66.67,0.046,0.27,0.1,0.067,,
118.3,66.67,0.029,0.22,0.1,0.067,,
120.0,66.67,0.026,0.18,0.1,0.067,,
124.5,66.67,0.0,0.0,0.1,0.067,,
