"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
105,204,0.0029,0.166,+-0.5,1,,
105,204,0.0025,0.168,+-0.5,1,,
105,204,0.0027,0.1677,+-0.5,1,,
105,204,0.0027,0.1668,+-0.5,1,,
105,400,0.0105,0.4968,+-0.5,1,,
105,400,0.0105,0.4956,+-0.5,1,,
105,400,0.0103,0.4948,+-0.5,1,,
105,602,0.0211,0.6315,+-0.5,1,,
105,602,0.0216,0.6337,+-0.5,1,,
105,602,0.0213,0.634,+-0.5,1,,
105,805,0.0312,0.7177,+-0.5,1,,
105,805,0.0319,0.7081,+-0.5,1,,
105,805,0.0315,0.7094,+-0.5,1,,
105,805,,0.7166,+-0.5,1,,
105,1000,0.0429,0.7594,+-0.5,1,,
105,1000,0.04,0.7602,+-0.5,1,,
105,1000,0.0387,0.7594,+-0.5,1,,
105,1000,0.043,,+-0.5,1,,
105,1206,0.0512,0.8094,+-0.5,1,,
105,1206,0.0538,0.8014,+-0.5,1,,
105,1206,0.0516,0.8132,+-0.5,1,,
105,1206,0.051,0.8102,+-0.5,1,,
105,1406,0.0617,0.825,+-0.5,1,,
105,1406,0.0608,0.8253,+-0.5,1,,
105,1603,0.0736,0.8315,+-0.5,1,,
105,1603,0.0728,0.8303,+-0.5,1,,
105,1603,0.0729,,+-0.5,1,,
105,1603,0.071,,+-0.5,1,,
105,1799,0.079,0.8402,+-0.5,1,,
105,1799,0.0688,0.8357,+-0.5,1,,
105,1799,0.076,0.8416,+-0.5,1,,
105,1799,0.08,0.834,+-0.5,1,,
105,2001,0.0817,0.8484,+-0.5,1,,
105,2001,0.0849,0.8484,+-0.5,1,,
105,2001,0.0832,0.8465,+-0.5,1,,
105,2001,0.0814,,+-0.5,1,,
