"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
350.95,20,0.0,0.0,+-0.1,+-0.01,0.001,0.001
348.15,20,0.016,0.137,+-0.1,+-0.01,0.001,0.001
345.75,20,0.031,0.243,+-0.1,+-0.01,0.001,0.001
343.15,20,0.051,0.345,+-0.1,+-0.01,0.001,0.001
339.85,20,0.077,0.449,+-0.1,+-0.01,0.001,0.001
336.05,20,0.116,0.586,+-0.1,+-0.01,0.001,0.001
332.45,20,0.153,0.659,+-0.1,+-0.01,0.001,0.001
329.05,20,0.199,0.733,+-0.1,+-0.01,0.001,0.001
325.75,20,0.253,0.79,+-0.1,+-0.01,0.001,0.001
323.25,20,0.306,0.829,+-0.1,+-0.01,0.001,0.001
321.25,20,0.364,0.858,+-0.1,+-0.01,0.001,0.001
319.65,20,0.423,0.874,+-0.1,+-0.01,0.001,0.001
318.25,20,0.474,0.89,+-0.1,+-0.01,0.001,0.001
317.25,20,0.542,0.902,+-0.1,+-0.01,0.001,0.001
316.45,20,0.604,0.912,+-0.1,+-0.01,0.001,0.001
315.85,20,0.658,0.919,+-0.1,+-0.01,0.001,0.001
315.45,20,0.704,0.925,+-0.1,+-0.01,0.001,0.001
315.05,20,0.752,0.931,+-0.1,+-0.01,0.001,0.001
314.75,20,0.807,0.939,+-0.1,+-0.01,0.001,0.001
314.55,20,0.843,0.944,+-0.1,+-0.01,0.001,0.001
314.35,20,0.87,0.947,+-0.1,+-0.01,0.001,0.001
314.35,20,0.881,0.947,+-0.1,+-0.01,0.001,0.001
314.15,20,0.915,0.955,+-0.1,+-0.01,0.001,0.001
314.15,20,0.934,0.96,+-0.1,+-0.01,0.001,0.001
314.05,20,0.946,0.964,+-0.1,+-0.01,0.001,0.001
314.05,20,0.959,0.968,+-0.1,+-0.01,0.001,0.001
313.95,20,0.971,0.975,+-0.1,+-0.01,0.001,0.001
313.95,20,0.981,0.982,+-0.1,+-0.01,0.001,0.001
313.95,20,0.993,0.993,+-0.1,+-0.01,0.001,0.001
314.35,20,1.0,1.0,+-0.1,+-0.01,0.001,0.001
