"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
283.1,2.957,0.0183,,0.01,,+-0.001,
284.49,3.051,0.0183,,0.01,,+-0.001,
286.74,3.209,0.0183,,0.01,,+-0.001,
289.68,3.423,0.0183,,0.01,,+-0.001,
292.72,3.658,0.0183,,0.01,,+-0.001,
296.43,3.963,0.0183,,0.01,,+-0.001,
299.87,4.258,0.0183,,0.01,,+-0.001,
302.15,4.465,0.0183,,0.01,,+-0.001,
305.09,4.751,0.0183,,0.01,,+-0.001,
307.05,4.965,0.0183,,0.01,,+-0.001,
307.4,5.03,0.0183,,0.01,,+-0.001,
308.6,5.259,0.0183,,0.01,,+-0.001,
310.56,5.616,0.0183,,0.01,,+-0.001,
311.94,5.867,0.0183,,0.01,,+-0.001,
312.35,5.933,0.0183,,0.01,,+-0.001,
314.89,6.391,0.0183,,0.01,,+-0.001,
317.54,6.85,0.0183,,0.01,,+-0.001,
319.82,7.239,0.0183,,0.01,,+-0.001,
322.13,7.632,0.0183,,0.01,,+-0.001,
327.38,8.492,0.0183,,0.01,,+-0.001,
331.82,9.18,0.0183,,0.01,,+-0.001,
336.71,9.867,0.0183,,0.01,,+-0.001,
341.78,10.622,0.0183,,0.01,,+-0.001,
346.68,11.325,0.0183,,0.01,,+-0.001,
351.39,11.875,0.0183,,0.01,,+-0.001,
354.27,12.211,0.0183,,0.01,,+-0.001,
358.96,12.761,0.0183,,0.01,,+-0.001,
362.03,13.101,0.0183,,0.01,,+-0.001,
