"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
63.6,760,0.02,0.014,,+-0.2,,
64.1,760,0.08,0.057,,+-0.2,,
64.5,760,0.141,0.103,,+-0.2,,
65.1,760,0.206,0.151,,+-0.2,,
65.7,760,0.269,0.201,,+-0.2,,
66.4,760,0.342,0.26,,+-0.2,,
67.0,760,0.397,0.308,,+-0.2,,
67.7,760,0.46,0.364,,+-0.2,,
68.4,760,0.511,0.411,,+-0.2,,
68.5,760,0.524,0.422,,+-0.2,,
69.2,760,0.571,0.468,,+-0.2,,
70.0,760,0.63,0.528,,+-0.2,,
70.9,760,0.69,0.59,,+-0.2,,
71.9,760,0.75,0.658,,+-0.2,,
72.9,760,0.808,0.726,,+-0.2,,
74.0,760,0.866,0.803,,+-0.2,,
75.1,760,0.924,0.881,,+-0.2,,
76.3,760,0.981,0.97,,+-0.2,,
