"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
75,5.0,0.05,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,10.0,0.1,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,15.0,0.149,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,20.0,0.19,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,25.0,0.229,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,30.0,0.267,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,35.0,0.302,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,40.0,0.33,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,45.0,0.367,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,50.0,0.399,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,55.0,0.425,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,60.0,0.45,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,65.0,0.475,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,70.0,0.5,,+-0.05,+-0.07,+-0.0014,+-0.0014
75,75.0,0.525,,+-0.05,+-0.07,+-0.0014,+-0.0014
