"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
422.84,1.39,0.877,,+-0.05,+-0.01,0.001,
432.71,1.63,0.877,,+-0.05,+-0.01,0.001,
442.65,1.89,0.877,,+-0.05,+-0.01,0.001,
452.48,2.166,0.877,,+-0.05,+-0.01,0.001,
462.51,2.476,0.877,,+-0.05,+-0.01,0.001,
472.36,2.81,0.877,,+-0.05,+-0.01,0.001,
482.34,3.153,0.877,,+-0.05,+-0.01,0.001,
492.42,3.518,0.877,,+-0.05,+-0.01,0.001,
496.7,3.661,0.877,,+-0.05,+-0.01,0.001,
497.52,3.686,0.877,,+-0.05,+-0.01,0.001,
499.52,3.73,0.877,,+-0.05,+-0.01,0.001,
501.1,3.69,0.877,,+-0.05,+-0.01,0.001,
