"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
363.5,3.38,0.021,0.614,0.1,0.09,0.001,0.006
363.5,7.1,0.081,0.815,0.1,0.07,0.001,0.001
363.5,11.19,0.1885,0.898,0.1,0.02,0.0004,0.0003
363.5,14.0,0.37,0.925,0.1,0.0,0.001,0.001
363.5,15.18,0.601,0.931,0.1,0.0,0.003,0.002
363.5,15.98,0.763,0.938,0.1,0.01,0.002,0.0002
363.5,16.22,0.835,0.9467,0.1,0.0,0.004,0.0004
363.5,16.3,0.841,0.946,0.1,0.0,0.004,0.001
363.5,16.53,0.893,0.951,0.1,0.01,0.002,0.001
363.5,16.69,0.957,0.9655,0.1,0.01,0.001,0.0005
363.5,16.71,0.989,0.9865,0.1,0.01,0.002,0.0001
363.5,16.57,1.0,1.0,0.1,,,
