"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
135.2,723,0.962,0.954,+-0.1,+-0.1,,
134.8,723,0.946,0.942,+-0.1,+-0.1,,
134.6,723,0.933,0.925,+-0.1,+-0.1,,
134.4,723,0.917,0.911,+-0.1,+-0.1,,
134.2,723,0.899,0.897,+-0.1,+-0.1,,
134.4,723,0.85,0.859,+-0.1,+-0.1,,
134.6,723,0.765,0.8,+-0.1,+-0.1,,
135.3,723,0.686,0.752,+-0.1,+-0.1,,
136.2,723,0.604,0.714,+-0.1,+-0.1,,
136.8,723,0.542,0.684,+-0.1,+-0.1,,
137.6,723,0.473,0.634,+-0.1,+-0.1,,
138.8,723,0.416,0.632,+-0.1,+-0.1,,
140.0,723,0.345,0.562,+-0.1,+-0.1,,
141.3,723,0.295,0.526,+-0.1,+-0.1,,
144.8,723,0.195,0.46,+-0.1,+-0.1,,
148.0,723,0.125,0.352,+-0.1,+-0.1,,
149.5,723,0.093,0.289,+-0.1,+-0.1,,
151.5,723,0.064,0.232,+-0.1,+-0.1,,
153.2,723,0.044,0.164,+-0.1,+-0.1,,
155.8,723,0.022,0.096,+-0.1,+-0.1,,
