"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
363.15,15.645,0.0,0.0,,,,
363.15,16.008,0.0065,0.038,,,,
363.15,18.195,0.0372,0.1727,,,,
363.15,21.296,0.0924,0.3268,,,,
363.15,24.571,0.1764,0.454,,,,
363.15,27.185,0.2676,0.5406,,,,
363.15,28.853,0.3588,0.5957,,,,
363.15,29.008,0.3752,0.6041,,,,
363.15,30.06,0.461,0.6442,,,,
363.15,30.69,0.5448,0.6762,,,,
363.15,31.15,0.6295,0.7104,,,,
363.15,31.455,0.7533,0.7604,,,,
363.15,31.33,0.8616,0.8254,,,,
363.15,30.823,0.9031,0.8556,,,,
363.15,30.053,0.9549,0.9182,,,,
363.15,29.483,0.9796,0.9593,,,,
363.15,29.032,0.9941,0.9874,,,,
363.15,28.765,1.0,1.0,,,,
