"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50.3,9.773,1.0,,+-0.05,+-0.05,,
50.3,10.816,0.9709,,+-0.05,+-0.05,,
50.3,11.746,0.9445,,+-0.05,+-0.05,,
50.3,13.238,0.8997,,+-0.05,+-0.05,,
50.3,16.379,0.8013,,+-0.05,+-0.05,,
50.3,19.165,0.7111,,+-0.05,+-0.05,,
50.3,22.353,0.6012,,+-0.05,+-0.05,,
50.3,23.105,0.5733,,+-0.05,+-0.05,,
50.3,23.969,0.5429,,+-0.05,+-0.05,,
50.3,24.695,0.5146,,+-0.05,+-0.05,,
50.3,26.51,0.4491,,+-0.05,+-0.05,,
50.3,26.999,0.4307,,+-0.05,+-0.05,,
50.3,29.25,0.3464,,+-0.05,+-0.05,,
50.3,32.232,0.2351,,+-0.05,+-0.05,,
50.3,34.853,0.1367,,+-0.05,+-0.05,,
50.3,36.614,0.0715,,+-0.05,+-0.05,,
50.3,37.672,0.0322,,+-0.05,+-0.05,,
50.3,38.484,0.0,,+-0.05,+-0.05,,
