"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
45,192.3,0.0,,+-0.10,0.5,+-0.001,
45,195.3,0.064,,+-0.10,0.5,+-0.001,
45,197.8,0.134,,+-0.10,0.5,+-0.001,
45,203.3,0.266,,+-0.10,0.5,+-0.001,
45,205.3,0.33,,+-0.10,0.5,+-0.001,
45,207.2,0.392,,+-0.10,0.5,+-0.001,
45,209.2,0.455,,+-0.10,0.5,+-0.001,
45,210.7,0.519,,+-0.10,0.5,+-0.001,
45,212.7,0.595,,+-0.10,0.5,+-0.001,
45,214.2,0.651,,+-0.10,0.5,+-0.001,
45,216.3,0.728,,+-0.10,0.5,+-0.001,
45,218.4,0.795,,+-0.10,0.5,+-0.001,
45,219.7,0.86,,+-0.10,0.5,+-0.001,
45,221.2,0.921,,+-0.10,0.5,+-0.001,
45,223.2,1.0,,+-0.10,0.5,+-0.001,
