"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-150.0,7.0,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-150.0,52.5,0.01229,0.8449,0-0.1%,0-1%,0-1%,0-1%
-150.0,100.6,0.0232,0.9132,0-0.1%,0-1%,0-1%,0-1%
-150.0,199.0,0.04863,0.94746,0-0.1%,0-1%,0-1%,0-1%
-150.0,200.0,0.04845,0.94778,0-0.1%,0-1%,0-1%,0-1%
-150.0,400.0,0.09903,0.96368,0-0.1%,0-1%,0-1%,0-1%
-150.0,606.0,0.1552,0.96635,0-0.1%,0-1%,0-1%,0-1%
-150.0,802.0,0.209,0.96215,0-0.1%,0-1%,0-1%,0-1%
-150.0,998.0,0.2689,0.956,0-0.1%,0-1%,0-1%,0-1%
-150.0,1311.0,0.3755,0.92771,0-0.1%,0-1%,0-1%,0-1%
-150.0,1500.0,0.4327,0.9012,0-0.1%,0-1%,0-1%,0-1%
-150.0,1750.0,0.5626,0.8138,0-0.1%,0-1%,0-1%,0-1%
-150.0,1812.0,0.6341,0.7704,0-0.1%,0-1%,0-1%,0-1%
-150.0,1818.0,0.708,0.708,0-0.1%,0-1%,0-1%,0-1%
