"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
0,1.55,0.0,0.0,+-0.05,0.2%,,
0,2.7,0.022,0.422,+-0.05,0.2%,,
0,3.5,0.037,0.541,+-0.05,0.2%,,
0,4.2,0.038,0.623,+-0.05,0.2%,,
0,5.1,0.053,0.69,+-0.05,0.2%,,
0,6.2,0.073,0.744,+-0.05,0.2%,,
0,7.4,0.098,0.783,+-0.05,0.2%,,
0,8.4,0.149,0.8,+-0.05,0.2%,,
0,9.8,0.166,0.83,+-0.05,0.2%,,
0,11.7,0.224,0.863,+-0.05,0.2%,,
0,14.6,0.317,0.877,+-0.05,0.2%,,
0,16.5,0.378,0.899,+-0.05,0.2%,,
0,17.4,0.403,0.913,+-0.05,0.2%,,
0,18.1,0.416,0.914,+-0.05,0.2%,,
0,21.1,0.513,0.922,+-0.05,0.2%,,
0,23.5,0.598,0.925,+-0.05,0.2%,,
0,26.1,0.697,0.947,+-0.05,0.2%,,
0,29.1,0.817,0.963,+-0.05,0.2%,,
0,32.0,0.917,0.981,+-0.05,0.2%,,
0,34.4,1.0,1.0,+-0.05,0.2%,,
