"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
0.01,34.303,0.0,0.0,,,,
0.01,35.53,0.039,0.056,,,,
0.01,36.87,0.089,0.125,,,,
0.01,38.35,0.155,0.202,,,,
0.01,39.68,0.226,0.273,,,,
0.01,40.92,0.316,0.355,,,,
0.01,42.07,0.433,0.458,,,,
0.01,42.62,0.526,0.539,,,,
0.01,42.81,0.594,0.598,,,,
0.01,42.85,0.667,0.666,,,,
0.01,42.83,0.684,0.681,,,,
0.01,42.58,0.725,0.721,,,,
0.01,42.59,0.754,0.751,,,,
0.01,42.19,0.817,0.809,,,,
0.01,41.66,0.884,0.878,,,,
0.01,40.88,0.952,0.95,,,,
0.01,40.387,1.0,1.0,,,,
