"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
70.0,760,0.061,0.095,+-0.02,+-2,+-1%,+-1%
69.09,760,0.111,0.165,+-0.02,+-2,+-1%,+-1%
68.8,760,0.115,0.175,+-0.02,+-2,+-1%,+-1%
68.2,760,0.15,0.224,+-0.02,+-2,+-1%,+-1%
67.55,760,0.204,0.279,+-0.02,+-2,+-1%,+-1%
67.38,760,0.208,0.284,+-0.02,+-2,+-1%,+-1%
67.08,760,0.22,0.303,+-0.02,+-2,+-1%,+-1%
65.11,760,0.332,0.437,+-0.02,+-2,+-1%,+-1%
63.62,760,0.441,0.551,+-0.02,+-2,+-1%,+-1%
63.55,760,0.442,0.545,+-0.02,+-2,+-1%,+-1%
62.17,760,0.515,0.617,+-0.02,+-2,+-1%,+-1%
60.33,760,0.652,0.741,+-0.02,+-2,+-1%,+-1%
59.59,760,0.697,0.781,+-0.02,+-2,+-1%,+-1%
59.0,760,0.732,0.816,+-0.02,+-2,+-1%,+-1%
58.62,760,0.805,0.859,+-0.02,+-2,+-1%,+-1%
58.22,760,0.83,0.877,+-0.02,+-2,+-1%,+-1%
58.0,760,0.856,0.9,+-0.02,+-2,+-1%,+-1%
