"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
421.8,0.7,0.0,0.0,,+-0.00065,,
415.51,0.7,0.0205,0.241,,+-0.00065,,
405.01,0.7,0.0619,0.5016,,+-0.00065,,
398.23,0.7,0.093,0.6218,,+-0.00065,,
392.94,0.7,0.1236,0.7169,,+-0.00065,,
380.65,0.7,0.2088,0.8401,,+-0.00065,,
372.45,0.7,0.3304,0.9136,,+-0.00065,,
367.25,0.7,0.4075,0.9437,,+-0.00065,,
363.18,0.7,0.4733,0.956,,+-0.00065,,
359.31,0.7,0.5786,0.9671,,+-0.00065,,
355.58,0.7,0.6745,0.9805,,+-0.00065,,
352.64,0.7,0.7733,0.9882,,+-0.00065,,
350.51,0.7,0.847,0.9923,,+-0.00065,,
348.7,0.7,0.9078,0.996,,+-0.00065,,
346.09,0.7,1.0,1.0,,+-0.00065,,
