"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
65.0,112.9,,0.036,0.2,0.3,0.0025,0.0025
65.0,120.8,,0.061,0.2,0.3,0.0025,0.0025
65.0,122.6,,0.08,0.2,0.3,0.0025,0.0025
65.0,119.1,,0.114,0.2,0.3,0.0025,0.0025
65.0,120.9,,0.117,0.2,0.3,0.0025,0.0025
65.0,120.2,0.156,,0.2,0.3,0.0025,0.0025
65.0,117.9,0.16,,0.2,0.3,0.0025,0.0025
65.0,115.7,0.211,,0.2,0.3,0.0025,0.0025
65.0,108.9,0.261,,0.2,0.3,0.0025,0.0025
65.0,91.7,0.441,,0.2,0.3,0.0025,0.0025
65.0,56.7,0.691,,0.2,0.3,0.0025,0.0025
65.0,35.8,0.816,,0.2,0.3,0.0025,0.0025
