"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
220.0,0.491,0.0,0.0,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.522,0.015,0.0706,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.548,0.0317,0.1239,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.579,0.0532,0.1846,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.613,0.0812,0.2418,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.66,0.1332,0.3178,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.686,0.1608,0.3592,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.72,0.2186,0.412,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.742,0.2564,0.4454,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.765,0.319,0.485,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.78,0.3693,0.5114,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.796,0.4631,0.5518,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.803,0.5641,0.5866,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.802,0.6552,0.6186,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.788,0.7782,0.6692,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.763,0.8572,0.7195,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.736,0.9035,0.7668,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.7,0.9428,0.8247,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.654,0.9772,0.9006,+-0.02,+-0.1%,+-0.002,+-0.002
220.0,0.598,1.0,1.0,+-0.02,+-0.1%,+-0.002,+-0.002
