"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
609.2,1.57,0.177,0.342,+-0.1,0.05,,
609.2,1.86,0.18,0.459,+-0.1,0.05,,
609.2,2.05,0.214,0.5,+-0.1,0.05,,
609.2,2.55,0.313,0.608,+-0.1,0.05,,
609.2,3.04,0.406,0.675,+-0.1,0.05,,
609.2,3.53,0.497,0.725,+-0.1,0.05,,
609.2,4.21,0.604,0.778,+-0.1,0.05,,
609.2,4.32,0.617,0.784,+-0.1,0.05,,
609.2,4.41,0.627,0.784,+-0.1,0.05,,
609.2,4.51,0.638,0.79,+-0.1,0.05,,
609.2,4.9,0.7,0.81,+-0.1,0.05,,
609.2,5.0,0.712,0.812,+-0.1,0.05,,
609.2,5.09,0.723,0.812,+-0.1,0.05,,
609.2,5.29,0.765,0.809,+-0.1,0.05,,
