"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
120,602,0.0254,0.221,+-0.5,1,,
120,602,0.0252,0.2202,+-0.5,1,,
120,602,0.0253,0.222,+-0.5,1,,
120,806,0.0493,0.3539,+-0.5,1,,
120,806,0.0476,0.3545,+-0.5,1,,
120,806,0.049,0.3428,+-0.5,1,,
120,806,0.05,0.334,+-0.5,1,,
120,806,0.0514,0.3473,+-0.5,1,,
120,1008,0.077,0.4189,+-0.5,1,,
120,1008,0.0724,0.4228,+-0.5,1,,
120,1008,0.0739,0.4175,+-0.5,1,,
120,1008,0.0763,,+-0.5,1,,
120,1199,0.0913,0.4842,+-0.5,1,,
120,1199,0.0909,0.489,+-0.5,1,,
120,1199,0.0922,0.489,+-0.5,1,,
120,1400,0.1026,0.5178,+-0.5,1,,
120,1400,0.1023,0.5241,+-0.5,1,,
120,1400,0.1028,0.5241,+-0.5,1,,
120,1400,,0.5178,+-0.5,1,,
120,1604,0.1188,0.5617,+-0.5,1,,
120,1604,0.1196,0.5636,+-0.5,1,,
120,1604,0.1191,0.5632,+-0.5,1,,
120,1604,0.1183,0.5614,+-0.5,1,,
120,1604,,0.5616,+-0.5,1,,
120,1798,0.1261,0.5803,+-0.5,1,,
120,1798,0.1311,0.5824,+-0.5,1,,
120,1798,0.1349,0.5813,+-0.5,1,,
120,1798,0.1277,,+-0.5,1,,
120,2003,0.1436,0.6062,+-0.5,1,,
120,2003,0.1359,0.6036,+-0.5,1,,
120,2003,0.1416,0.6057,+-0.5,1,,
