"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
348.15,19.298,0.0,0.0,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,13.885,0.0873,0.32,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,15.148,0.1262,0.399,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,16.774,0.1884,0.4863,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,18.179,0.2601,0.5542,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,19.136,0.3283,0.5981,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,20.529,0.5031,0.67,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,20.882,0.589,0.6976,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,21.084,0.6675,0.7224,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,21.176,0.7442,0.7504,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,21.114,0.8191,0.789,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,20.878,0.8785,0.8321,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,20.203,0.9526,0.9146,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,19.76,0.9785,0.9578,+-0.02,+-0.0007,+-0.002,+-0.002
348.15,9.356,1.0,1.0,+-0.02,+-0.0007,+-0.002,+-0.002
