"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323.24,0.498,0.8451,,0.02,0.01,,
333.25,0.643,0.8451,,0.02,0.01,,
343.24,0.817,0.8451,,0.02,0.01,,
345.66,0.865,0.8451,,0.02,0.01,,
353.31,1.026,0.8451,,0.02,0.01,,
363.3,1.274,0.8451,,0.02,0.01,,
373.29,1.563,0.8451,,0.02,0.01,,
383.28,1.897,0.8451,,0.02,0.01,,
393.3,2.285,0.8451,,0.02,0.01,,
403.37,2.733,0.8451,,0.02,0.01,,
413.35,3.244,0.8451,,0.02,0.01,,
418.36,3.528,0.8451,,0.02,0.01,,
423.36,3.83,0.8451,,0.02,0.01,,
426.26,4.015,0.8451,,0.02,0.01,,
