"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
545.0,760,0.0,0.0,,,,
520.0,760,0.102,0.326,,,,
512.9,760,0.14,0.407,,,,
486.2,760,0.287,0.643,,,,
469.7,760,0.403,0.758,,,,
453.2,760,0.561,0.856,,,,
433.0,760,0.777,0.951,,,,
416.0,760,1.0,1.0,,,,
