"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
353.42,760,0.0,0.0,,,,
351.2,760,0.0023,0.0639,,,,
349.44,760,0.0043,0.126,,,,
341.1,760,0.0083,0.1456,,,,
348.15,760,0.0181,0.1596,,,,
343.97,760,0.0316,0.2703,,,,
339.48,760,0.0411,0.3755,,,,
336.59,760,0.0525,0.4401,,,,
337.0,760,0.0544,0.4118,,,,
334.35,760,0.0825,0.4806,,,,
332.89,760,0.1082,0.5271,,,,
330.96,760,0.2205,0.5707,,,,
330.32,760,0.3251,0.5867,,,,
330.11,760,0.3962,0.5942,,,,
330.29,760,0.399,0.5921,,,,
330.08,760,0.4388,0.591,,,,
329.89,760,0.5453,0.6015,,,,
330.04,760,0.5475,0.6025,,,,
329.85,760,0.5846,0.6076,,,,
329.8,760,0.6317,0.6218,,,,
329.87,760,0.7156,0.6337,,,,
330.25,760,0.7981,0.6635,,,,
331.22,760,0.8755,0.7156,,,,
331.67,760,0.8995,0.7368,,,,
331.98,760,0.9177,0.7557,,,,
332.93,760,0.9351,0.7834,,,,
333.44,760,0.9499,0.8057,,,,
336.51,760,0.9899,0.9464,,,,
337.65,760,1.0,1.0,,,,
