"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
389.83,101.3,0.0311,0.0734,+-0.01,+-0.1,,
388.61,101.3,0.1087,0.1613,+-0.01,+-0.1,,
388.15,101.3,0.1624,0.2129,+-0.01,+-0.1,,
387.75,101.3,0.2327,0.2679,+-0.01,+-0.1,,
387.6,101.3,0.3107,0.3,+-0.01,+-0.1,,
387.53,101.3,0.3906,0.3426,+-0.01,+-0.1,,
388.19,101.3,0.4863,0.3908,+-0.01,+-0.1,,
388.88,101.3,0.5678,0.4271,+-0.01,+-0.1,,
390.09,101.3,0.6827,0.5039,+-0.01,+-0.1,,
391.76,101.3,0.776,0.569,+-0.01,+-0.1,,
395.39,101.3,0.879,0.6981,+-0.01,+-0.1,,
400.15,101.3,0.95,0.84,+-0.01,+-0.1,,
