"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
310.0,30.67,0.0,0.0,0.01,0.01,,
310.0,33.5,0.0288,0.1161,0.01,0.01,,
310.0,37.16,0.0685,0.2224,0.01,0.01,,
310.0,38.52,0.0916,0.2626,0.01,0.01,,
310.0,40.3,0.1315,0.3115,0.01,0.01,,
310.0,42.07,0.1934,0.3629,0.01,0.01,,
310.0,44.33,0.3547,0.4518,0.01,0.01,,
310.0,44.68,0.4785,0.4897,0.01,0.01,,
310.0,44.52,0.5891,0.526,0.01,0.01,,
310.0,44.02,0.6725,0.558,0.01,0.01,,
310.0,42.83,0.7664,0.6048,0.01,0.01,,
310.0,41.68,0.8195,0.6417,0.01,0.01,,
310.0,40.25,0.8649,0.6846,0.01,0.01,,
310.0,38.6,0.9028,0.7324,0.01,0.01,,
310.0,36.23,0.9416,0.8031,0.01,0.01,,
310.0,34.33,0.9643,0.8655,0.01,0.01,,
310.0,31.7,0.9909,0.9558,0.01,0.01,,
310.0,30.92,0.9974,0.9853,0.01,0.01,,
310.0,30.54,1.0,1.0,0.01,0.01,,
