"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
333.15,257.9,0.008,0.473,+-0.02,,,
333.15,380.6,0.02,0.622,+-0.02,,,
333.15,435.2,0.025,0.674,+-0.02,,,
333.15,547.6,0.04,0.758,+-0.02,,,
333.15,599.3,0.054,0.781,+-0.02,,,
333.15,615.8,0.066,0.786,+-0.02,,,
333.15,630.3,0.079,0.791,+-0.02,,,
333.15,638.0,0.102,0.794,+-0.02,,,
333.15,641.0,0.124,0.794,+-0.02,,,
333.15,643.2,0.148,0.795,+-0.02,,,
333.15,645.5,0.439,0.796,+-0.02,,,
333.15,650.1,0.566,0.799,+-0.02,,,
333.15,654.1,0.646,0.805,+-0.02,,,
333.15,658.0,0.708,0.811,+-0.02,,,
333.15,661.3,0.756,0.819,+-0.02,,,
333.15,662.8,0.811,0.837,+-0.02,,,
333.15,663.5,0.84,0.845,+-0.02,,,
333.15,661.3,0.892,0.87,+-0.02,,,
333.15,656.7,0.927,0.891,+-0.02,,,
333.15,652.2,0.951,0.921,+-0.02,,,
333.15,649.3,0.963,0.937,+-0.02,,,
