"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
368.35,85.354,0.0,0.0,,,,
368.35,83.5,0.0084,0.0044,,,,
368.35,82.99,0.0158,0.0061,,,,
368.35,81.88,0.0401,0.0153,,,,
368.35,80.57,0.0687,0.269,,,,
368.35,78.48,0.1128,0.451,,,,
368.35,75.74,0.1689,0.771,,,,
368.35,72.64,0.2172,0.1116,,,,
368.35,72.02,0.2346,0.1215,,,,
368.35,69.32,0.2952,0.1696,,,,
368.35,66.02,0.3601,0.2152,,,,
368.35,62.32,0.4491,0.2858,,,,
368.35,57.85,0.5994,0.3983,,,,
368.35,51.9,0.7406,0.5132,,,,
368.35,46.3,0.8465,0.6466,,,,
368.35,41.9,0.9104,0.75,,,,
368.35,34.773,1.0,1.0,,,,
