"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
344.3,1027,,0.989,,,,0.003
344.3,1204,,0.989,,,,0.003
344.3,1307,,0.988,,,,0.003
344.3,1506,,0.991,,,,0.003
344.3,1603,,0.992,,,,0.003
344.3,1696,,0.991,,,,0.003
344.3,1788,,0.992,,,,0.003
344.3,1900,,0.988,,,,0.003
344.3,2017,,0.987,,,,0.003
344.3,2017,,0.987,,,,0.003
344.3,2102,,0.984,,,,0.003
344.3,2145,,0.983,,,,0.003
344.3,2197,,0.983,,,,0.003
344.3,2256,,0.976,,,,0.003
344.3,2274,,0.976,,,,0.003
344.3,2296,,0.971,,,,0.003
344.3,2315,,0.968,,,,0.003
344.3,2340,,0.965,,,,0.003
344.3,2346,,0.964,,,,0.003
344.3,2360,,0.96,,,,0.003
344.3,2364,,0.958,,,,0.003
344.3,2365,,0.955,,,,0.003
