"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1185,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1272,0.013,0.116,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.145,0.035,0.224,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.148,0.037,0.24,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1589,0.054,0.304,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.175,0.103,0.39,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1901,0.159,0.456,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1971,0.2,0.49,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2079,0.302,0.553,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2146,0.383,0.584,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.224,0.531,0.652,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.227,0.627,0.673,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2285,0.716,0.705,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2248,0.845,0.81,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2188,0.924,0.893,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2154,0.995,0.981,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.215,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
