"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
66.7,1.0,0.93,0.999,,,,
73.2,1.0,0.821,0.998,,,,
79.6,1.0,0.664,0.997,,,,
84.7,1.0,0.53,0.993,,,,
90.2,1.0,0.457,0.99,,,,
93.8,1.0,0.406,0.985,,,,
101.4,1.0,0.363,0.979,,,,
102.7,1.0,0.356,0.975,,,,
104.9,1.0,0.322,0.967,,,,
105.1,1.0,0.227,0.946,,,,
109.9,1.0,0.212,0.933,,,,
113.0,1.0,0.195,0.923,,,,
121.5,1.0,0.137,0.864,,,,
149.6,1.0,0.103,0.746,,,,
157.5,1.0,0.046,0.515,,,,
166.3,1.0,0.036,0.42,,,,
175.2,1.0,0.025,0.304,,,,
183.5,1.0,0.014,0.181,,,,
189.1,1.0,0.005,0.068,,,,
