"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100.0,760,0.0,0.0,+-0.2,,,
99.3,760,0.0028,0.032,+-0.2,,,
96.9,760,0.0118,0.113,+-0.2,,,
96.0,760,0.0137,0.157,+-0.2,,,
96.0,760,0.0144,0.135,+-0.2,,,
95.6,760,0.0176,0.156,+-0.2,,,
94.8,760,0.0222,0.186,+-0.2,,,
93.8,760,0.0246,0.212,+-0.2,,,
93.5,760,0.0302,0.231,+-0.2,,,
92.9,760,0.0331,0.248,+-0.2,,,
90.5,760,0.0519,0.318,+-0.2,,,
90.5,760,0.053,0.314,+-0.2,,,
89.4,760,0.0625,0.339,+-0.2,,,
88.4,760,0.0673,0.37,+-0.2,,,
88.6,760,0.0715,0.362,+-0.2,,,
87.2,760,0.0871,0.406,+-0.2,,,
85.4,760,0.126,0.468,+-0.2,,,
84.5,760,0.143,0.487,+-0.2,,,
84.0,760,0.172,0.505,+-0.2,,,
83.4,760,0.206,0.53,+-0.2,,,
83.0,760,0.21,0.527,+-0.2,,,
82.3,760,0.255,0.552,+-0.2,,,
82.0,760,0.284,0.567,+-0.2,,,
81.4,760,0.321,0.586,+-0.2,,,
81.5,760,0.324,0.583,+-0.2,,,
81.2,760,0.345,0.591,+-0.2,,,
80.9,760,0.405,0.614,+-0.2,,,
80.5,760,0.43,0.628,+-0.2,,,
80.2,760,0.449,0.633,+-0.2,,,
80.0,760,0.506,0.661,+-0.2,,,
79.5,760,0.545,0.673,+-0.2,,,
78.8,760,0.663,0.733,+-0.2,,,
78.5,760,0.735,0.776,+-0.2,,,
78.4,760,0.804,0.815,+-0.2,,,
78.3,760,0.917,0.906,+-0.2,,,
78.3,760,1.0,1.0,+-0.2,,,
