"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-50.0,0.25,0.0,0.0,0.02,1,0.005,0.005
-50.0,20.2,0.01415,0.99841,0.02,1,0.005,0.005
-50.0,25.2,0.0171,0.99872,0.02,1,0.005,0.005
-50.0,50.2,0.0337,0.999343,0.02,1,0.005,0.005
-50.0,100.2,0.06372,0.999632,0.02,1,0.005,0.005
-50.0,150.2,0.09213,0.999713,0.02,1,0.005,0.005
-50.0,200.2,0.1218,0.999757,0.02,1,0.005,0.005
-50.0,300.2,0.1771,0.999775,0.02,1,0.005,0.005
-50.0,400.2,0.2294,0.999755,0.02,1,0.005,0.005
-50.0,600.0,0.3282,0.999594,0.02,1,0.005,0.005
-50.0,800.0,0.4207,0.999256,0.02,1,0.005,0.005
-50.0,1000.0,0.4952,0.99851,0.02,1,0.005,0.005
-50.0,1200.0,0.5893,0.99613,0.02,1,0.005,0.005
-50.0,1400.0,0.6518,0.99013,0.02,1,0.005,0.005
-50.0,1500.0,0.7011,0.9871,0.02,1,0.005,0.005
-50.0,1600.0,0.7423,0.9841,0.02,1,0.005,0.005
-50.0,1700.0,0.7774,0.9816,0.02,1,0.005,0.005
-50.0,1750.0,0.8022,,0.02,1,0.005,0.005
-50.0,1775.0,0.8189,,0.02,1,0.005,0.005
-50.0,1790.0,0.8444,,0.02,1,0.005,0.005
-50.0,1800.0,0.8522,,0.02,1,0.005,0.005
-50.0,1803.0,0.8922,,0.02,1,0.005,0.005
-50.0,1804.0,0.9784,0.9784,0.02,1,0.005,0.005
