"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
383.15,0.202,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.2277,0.002,0.061,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.2576,0.014,0.212,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.2934,0.029,0.311,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.3517,0.052,0.451,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.4111,0.085,0.575,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.471,0.115,0.662,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.5281,0.172,0.73,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.5977,0.26,0.776,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.6418,0.338,0.797,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.6833,0.49,0.815,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7137,0.63,0.834,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7481,0.796,0.879,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7675,0.893,0.922,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7721,0.954,0.96,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7751,0.984,0.985,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.773,0.998,0.997,+-0.02,+-0.0002,+-0.002,+-0.002
383.15,0.7719,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
